Sem rede;20º19min;2 minutos
m=0;123º40min;2 minutos
Roxo;141º19min;2 minutos
Azul;141º52min;2 minutos
Ciano;142º47min;2 minutos
Laranja;146º26min;2 minutos
Vermelho;148º49min;2 minutos
